Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link_0,-0.00360067778183354,-0.00883720453207504,0.0292421918925886,0,0,0,0.810928179042901,0.00149879110186889,-1.29470167277919E-05,1.42354816371536E-05,0.00144512079422282,-7.34227463023617E-06,0.00102948039835816,0,0,0,0,0,0,package://bigmama0404/meshes/Link_0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bigmama0404/meshes/Link_0.STL,,真空泵简易-1;下脚架 -1;下小腿Plus-1;吸盘单位-2;吸盘单位-1;吸盘单位-3,Coordinate0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,3.33066907387547E-16,0.120000000000001,0.0148133941875559,0,0,0,0.282384693513862,0.00274447139440248,2.03761521701345E-19,-5.60290136516403E-21,0.000195078787164715,1.40857492210562E-20,0.00291591183814071,0,0,0,0,0,0,package://bigmama0404/meshes/Link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bigmama0404/meshes/Link_1.STL,,下大腿简化-1,Coordinate1,Axis1,Joint_1,revolute,0.022,0,0.155,1.5707963267949,0,1.5707963267949,Link_0,0,0,-1,500,0.05,-3.14,3.14,,,,,,,,
Link_2,5.55111512312578E-15,0.0981842440812921,-0.0518979671215241,0,0,0,0.345163663974144,0.0036331910417201,3.23041910956552E-18,-4.48446716888843E-19,0.000344054038167575,0.000241150545790953,0.00379142507539423,0,0,0,0,0,0,package://bigmama0404/meshes/Link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bigmama0404/meshes/Link_2.STL,,上大腿简化-1,Coordinate2,Axis2,Joint_2,revolute,0,0.239999999999989,0,0,0,0,Link_1,0,0,-1,500,0.05,-3.14,3.14,,,,,,,,
Link_3,0.0182556388647203,0.077688167435717,0.0292189539257218,0,0,0,0.405243678629156,0.0010066908609712,-1.02117053661611E-05,-1.29579969608816E-05,0.000277409370252715,1.42352093688465E-05,0.00110247571714619,0,0,0,0,0,0,package://bigmama0404/meshes/Link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bigmama0404/meshes/Link_3.STL,,上小腿Plus -1;真空泵简易-2,Coordinate3,Axis3,Joint_3,revolute,0,0.239999999999999,-0.0441999999999954,0,0,0,Link_2,0,0,1,500,0.05,-3.14,3.14,,,,,,,,
Link_4,-0.000571100099163613,-1.53255196832132E-05,-0.0288070807646197,0,0,0,0.405610108151776,0.000438080420431632,1.32882114011324E-08,-2.85557702463612E-06,0.000395912370663264,7.13846572554124E-09,0.000752016973569227,0,0,0,0,0,0,package://bigmama0404/meshes/Link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bigmama0404/meshes/Link_4.STL,,上脚架 -1;吸盘单位-4;吸盘单位-5;吸盘单位-6,Coordinate4,Axis4,Joint_4,revolute,0,0.144999999999999,0.0220000000000023,1.5707963267949,0,0,Link_3,0,0,-1,1E-05,1E-05,-1E-05,1E-05,,,,,,,,
Link_innerfinger,-0.6723,1.1992,-0.005,0,0,0,0.26589,0.10864,-0.01177,-3.9329E-10,0.028303,-4.3932E-10,0.13678,0,0,0,0,0,0,package://bigmama0404/meshes/Link_innerfinger.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bigmama0404/meshes/Link_innerfinger.STL,,bigcramp-2,Coordinate12,Axis12,Joint_innerfinger,revolute,-0.005,-0.11247,0,-1.5708,0,1.5708,Link_4,0,0,1,500,0.05,-3.14,3.14,,,,,,,,
Link_exterfinger,0.6723,1.1992,-0.005,0,0,0,0.26589,0.10864,0.01177,-3.9329E-10,0.028303,4.3932E-10,0.13678,0,0,0,0,0,0,package://bigmama0404/meshes/Link_exterfinger.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bigmama0404/meshes/Link_exterfinger.STL,,bigcramp-1,Coordinate11,Axis11,Joint_exterfinger,revolute,-0.005,0.11247,0,-1.5708,0,1.5708,Link_4,0,0,-1,500,0.05,-3.14,3.14,,,,,,,,
Link_baseout,-0.6723,-1.1992,0.005,0,0,0,0.26589,0.10864,0.01177,3.9329E-10,0.028303,-4.3932E-10,0.13678,0,0,0,0,0,0,package://bigmama0404/meshes/Link_baseout.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bigmama0404/meshes/Link_baseout.STL,,bigcramp-3,Coordinate13,Axis13,Joint_baseout,revolute,-0.11247,0.005,0.01,1.5708,0,0,Link_0,0,0,-1,500,0.05,-3.14,3.14,,,,,,,,
Link_basein,0.6723,-1.1992,0.005,0,0,0,0.26589,0.10864,-0.01177,3.9329E-10,0.028303,4.3932E-10,0.13678,0,0,0,0,0,0,package://bigmama0404/meshes/Link_basein.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bigmama0404/meshes/Link_basein.STL,,bigcramp-4,Coordinate14,Axis14,Joint_basein,revolute,0.11247,0.005,0.01,1.5708,0,0,Link_0,0,0,1,500,0.05,-3.14,3.14,,,,,,,,
